Abstract ID,Type,Category,Title,Country,Presenting,Status
20250099,Any presentation,Head and Neck,Optimal Induction Chemotherapy Regimens for  Nasopharyngeal Carcinoma: A Phase 3 Randomized Trial,China,Yuanyuan Li ,Submitted
20250100,oral presentation,Radiobiology,CAD hijacks STING to impair antitumor immunity and radiotherapy efficacy of colorectal cancer,China,Zhengkun Cai ,Submitted
20250101,oral presentation,Gynecologic malignancy,Small-pelvis radiation for early-stage cervical cancer without high-risk factors after surgery,China,Xi-Lin Yang ,Submitted
20250102,digital poster,Nurse care,Impact of Dietitian-Led Nutrition Counseling in Irradiated Head and Neck Cancer,Thailand,Narumit Bankhum ,Submitted
20250103,Any presentation,Breast,Intramitochondrial self-assembled short-peptides induce pyroptosis for robust antitumor immunity,China,Yifan Huang ,Submitted
20250104,digital poster,Central nervous system,Malignant Phenotypes in Glioma Mediated by GLIPR2 and its Underlying Mechanisms,China,Fan Tianyi ,Submitted
20250105,oral presentation,Gynecologic malignancy,Multi-omics Links Plasma Cells to Survival in Cervical Cancer Chemoradiotherapy,China,Qingyu Huang ,Submitted
20250106,oral presentation,GU,Radioimmunotherapy Score Predicts Immunotherapy Eligibility in SBRT-Treated RCC,China,Qingyu Huang ,Submitted
20250107,oral presentation,"Upper GI (i.e., esophagus and stomach)",Neoadjuvant Chemotherapy or Chemoradiotherapy With/Without Sintilimab for Resectable ESCC,China,jiahua lyu ,Submitted
20250108,oral presentation,Gynecologic malignancy,INTERLACE Trial: Patient Selection Bias and Limited Global Applicability,Australia,KAILASH NARAYAN ,Submitted
20250109,oral presentation,Lower GI,Role of Total Neoadjuvant Therapy in sphincter preservation in Locally Advanced Rectal cancer,India,Dr Arpit Gite ,Submitted
20250110,oral presentation,Gynecologic malignancy,Recurrence Site in FIGO Stage III Endometrial Cancer Following Postoperative Radiotherapy,China,Chunmei Li ,Submitted
20250111,Any presentation,GU,Postoperative Hypofractionated Radiotherapy for Prostate Cancer: Late Toxicity and Clinical Outcomes,China,Xue-Ying Ren ,Submitted
20250112,oral presentation,Physics,Implementation of Intelligent All-in-one Tech in Rectal Cancer Radiotherapy: A Retrospective Study,China,Haoyang Zhai ,Submitted
20250113,Any presentation,Lower GI,Dual Peptide-Modified Micelles (GE11-MMP) for Synergistic Chemo-Immunotherapy via Co-Delivery,China,Jiaxin Zou ,Submitted
20250114,oral presentation,GU,Bladder-Specific 15-gene Signature Predicts (Chemo)radiation Therapy Response in Bladder Cancer,China,Xiaohui Li ,Submitted
20250115,Any presentation,Gynecologic malignancy,Single-cell and bulk RNA-seq reveal two-gene subtypes in Gleason 5 prostate cancer with radiotherapy,China,Fuhao Wang ,Submitted
20250116,Any presentation,Head and Neck,Response to IC reveals tumor heterogeneity through a multi-omics profiling of HPV+ OPSCC,China,Lin Zhu ,Submitted
20250117,oral presentation,Gynecologic malignancy,Single-cell and bulk RNA-seq reveal two-gene subtypes in Gleason 5 prostate cancer with radiotherapy,China,Fuhao Wang ,Submitted
20250118,oral presentation,Gynecologic malignancy,Single-cell transcriptomics reveals predictors of radiochemotherapy response in cervical cancer,China,Fuhao Wang ,Submitted
20250119,oral presentation,GU,Single-cell and bulk RNA-seq reveal two-gene subtypes in Gleason 5 prostate cancer with radiotherapy,China,Fuhao Wang ,Submitted
20250120,oral presentation,Head and Neck,Metabolomics-Radiomics-Clinical Integration for Predicting Post-radiotherapy Trismus in NPC,China,lei ji ,Submitted
20250121,Any presentation,Breast,Hybrid 3DCRT-pVMAT Breast RT Planning: Efficiency Insights from a Tertiary Hospital in Bangladesh,Bangladesh,Hasnina akter ,Submitted
20250123,Any presentation,Breast,Evaluation of SGRT Accuracy and Imaging Dose in Breast Cancer Patients Undergoing VMAT Treatment,India,Aarti Jamwal ,Submitted
20250124,digital poster,Lung (including other thoracic tumors),Clinical observation of radiotherapy target delineation in localized small cell lung cancer,China,??? ,Submitted
20250125,digital poster,Lung (including other thoracic tumors),Immunomaintenance therapy after concurrent radiochemotherapy  is expected to improve the LD SCLC,China,JIN YONGLONG ,Submitted
